Fault,FDR_SPE,FAR_SPE,F1_Score_SPE,FDR_T2,FAR_T2,F1_Score_T2
1.0,797.0,12.0,0.9906774394033562,723.0,5.0,0.9463350785340315
2.0,791.0,8.0,0.9893683552220137,671.0,2.0,0.9110658520027155
3.0,86.0,8.0,0.19239373601789708,46.0,7.0,0.1078546307151231
4.0,786.0,8.0,0.986198243412798,86.0,4.0,0.19325842696629214
5.0,295.0,7.0,0.5353901996370236,194.0,3.0,0.3891675025075225
6.0,800.0,7.0,0.9956440572495334,796.0,2.0,0.9962453066332916
7.0,800.0,7.0,0.9956440572495334,341.0,6.0,0.5945945945945946
8.0,782.0,1.0,0.9879974731522426,715.0,11.0,0.9370904325032765
9.0,77.0,18.0,0.17206703910614524,48.0,16.0,0.1111111111111111
10.0,365.0,5.0,0.6239316239316239,263.0,10.0,0.4902143522833178
11.0,606.0,10.0,0.8559322033898306,160.0,9.0,0.3302373581011352
12.0,790.0,19.0,0.9819763828464885,739.0,6.0,0.9566343042071197
13.0,763.0,8.0,0.9713558243157225,705.0,4.0,0.9343936381709741
14.0,800.0,11.0,0.9931719428926133,599.0,2.0,0.8551034975017844
15.0,88.0,5.0,0.19708846584546472,61.0,2.0,0.14136732329084586
16.0,309.0,16.0,0.5493333333333333,166.0,17.0,0.3377416073245168
17.0,750.0,6.0,0.9640102827763496,572.0,4.0,0.8313953488372092
18.0,722.0,10.0,0.9425587467362925,713.0,4.0,0.9400131839156228
19.0,258.0,11.0,0.48269410664172124,28.0,6.0,0.0671462829736211
20.0,454.0,8.0,0.7194928684627575,255.0,3.0,0.48204158790170126
21.0,412.0,15.0,0.6715566422167889,160.0,4.0,0.3319502074688797
